conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
ZONE_CHARACTER_1,NO,No oil ,ZONE_CHARACTER_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
ZONE_CHARACTER_2,FR,Fresh,ZONE_CHARACTER_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
ZONE_CHARACTER_3,MS,Mousse,ZONE_CHARACTER_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
ZONE_CHARACTER_4,TB,Tar balls,ZONE_CHARACTER_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
ZONE_CHARACTER_5,PT,Patties (tar or mousse),ZONE_CHARACTER_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
ZONE_CHARACTER_6,TC,Tar,ZONE_CHARACTER_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
ZONE_CHARACTER_7,SR,Surface Oil Residue,ZONE_CHARACTER_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
ZONE_CHARACTER_8,AP,Asphalt Pavement,ZONE_CHARACTER_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
ZONE_CHARACTER_9,DB/LG,Debris - logs,ZONE_CHARACTER_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
ZONE_CHARACTER_10,DB/VG,Debris - vegetation,ZONE_CHARACTER_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
ZONE_CHARACTER_11,DB/RB,Debris - rubbish/garbage,ZONE_CHARACTER_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
